FileName, Type, Correct, Partially, Missing, Spurious, Recall, Precision, F1
Danh-gia-Panasonic-Lumix-FX77-score.xml_000A9,Average,27,10,6,5,0.7441860465116279,0.7619047619047619,0.7529411764705882
Danh-gia-Pentax-K-5-score.xml_000AC,Average,50,18,21,7,0.6629213483146067,0.7866666666666666,0.7195121951219511
Danh-gia-pre-ampli-Ayre-KX-R-score.xml_000AF,Average,30,4,17,2,0.6274509803921569,0.8888888888888888,0.735632183908046
Danh-gia-Samsung-Galaxy-Nexus-score.xml_000B2,Average,504,73,187,58,0.7074607329842932,0.8511811023622047,0.7726947819871337
Danh-gia-Samsung-Galaxy-S-II-score.xml_000B5,Average,67,20,14,4,0.7623762376237624,0.8461538461538461,0.8020833333333334
Danh-gia-Samsung-Multiview-MV800-score.xml_000B8,Average,14,5,6,1,0.66,0.825,0.7333333333333334
Danh-gia-Sony-Ericsson-Vivaz-score.xml_000BB,Average,42,18,14,1,0.6891891891891891,0.8360655737704918,0.7555555555555555
Danh-gia-Sony-Ericsson-Xperia-Arc-S-score.xml_000BE,Average,20,3,13,0,0.5972222222222222,0.9347826086956522,0.7288135593220338
Danh-gia-Sony-Ericsson-Xperia-Arc-score.xml_000C1,Average,60,29,18,7,0.6962616822429907,0.7760416666666666,0.7339901477832512
Danh-gia-tai-nghe-Sennheiser-HD-218-score.xml_000C4,Average,34,10,14,3,0.6724137931034483,0.8297872340425532,0.7428571428571429
Danh-gia-tai-nghe-Sennheiser-OMX-680i-Sports-score.xml_000C7,Average,42,10,19,8,0.6619718309859155,0.7833333333333333,0.717557251908397
De-2-SIM-2-song-pin-cuc-khoe-score.xml_000CA,Average,113,6,33,11,0.7631578947368421,0.8923076923076924,0.822695035460993
Dell-Adamo-kiet-tac-duc-ket-score.xml_000CD,Average,228,27,47,46,0.7996688741721855,0.8023255813953488,0.8009950248756219
Dell-Mini-10-su-lua-chon-nua-voi-score.xml_000D0,Average,101,22,36,31,0.7044025157232704,0.7272727272727273,0.7156549520766772
Dien-thoai-la---Motorola-BackFlip-score.xml_000D3,Average,36,9,18,14,0.6428571428571429,0.6864406779661016,0.6639344262295083
Doanh-nhan-HP-Compaq-2230s-score.xml_000D6,Average,88,18,23,11,0.751937984496124,0.8290598290598291,0.7886178861788617
Dung-thu-laptop-Acer-Aspire-4738Z-score.xml_000D9,Average,25,15,22,1,0.5241935483870968,0.7926829268292683,0.6310679611650486
Dung-thu-Sony-Cyber-shot-T90-score.xml_000DC,Average,141,17,67,33,0.6644444444444444,0.7827225130890052,0.71875
Edge-mang-luong-gio-moi-cho-ThinkPad-score.xml_000DF,Average,85,14,48,14,0.6258503401360545,0.8141592920353983,0.7076923076923076
Eee-PC-1000H-giao-thoi-netbook-va-ultraportable-score.xml_000E2,Average,141,14,34,19,0.783068783068783,0.8505747126436781,0.8154269972451791
Eee-PC-1008HA-Seashell-score.xml_000E5,Average,116,21,34,15,0.7397660818713451,0.8322368421052632,0.7832817337461301
FPT-F99---di-dong-bat-chuoc-smartphone-score.xml_000E8,Average,27,8,9,1,0.7045454545454546,0.8611111111111112,0.775
FX48-ban-Lumix-mo-nhat-score.xml_000EB,Average,148,21,80,18,0.6365461847389559,0.8475935828877005,0.7270642201834863
Gateway-P7804G-score.xml_000EE,Average,131,23,38,22,0.7421875,0.8096590909090909,0.7744565217391305
Giai-tri-choi-game-voi-Acer-Aspire-5739G-score.xml_000F1,Average,170,39,70,30,0.6792114695340502,0.7928870292887029,0.7316602316602316
HP-G42-su-lua-chon-dang-tien-score.xml_000F4,Average,34,16,16,2,0.6363636363636364,0.8076923076923077,0.7118644067796609
HP-ProBook-4420s-diem-sang-cua-dong-ProBook-moi-score.xml_000F7,Average,98,22,23,33,0.7622377622377622,0.7124183006535948,0.7364864864864864
HP-Veer---smartphone-ti-hon-manh-me-score.xml_000FA,Average,45,10,18,6,0.684931506849315,0.819672131147541,0.7462686567164178
HTC-Touch-Diamond-2-score.xml_000FD,Average,237,37,62,22,0.7604166666666666,0.8631756756756757,0.8085443037974683
Huyen-thoai-moi---HTC-Legend-score.xml_00100,Average,51,10,15,4,0.7368421052631579,0.8615384615384616,0.7943262411347517
Kim-cuong-den-HTC-S740-score.xml_00103,Average,128,16,57,9,0.6766169154228856,0.8888888888888888,0.768361581920904
L640-laptop-Core-i3-gia-re-cua-Toshiba-score.xml_00106,Average,33,17,26,3,0.5460526315789473,0.7830188679245284,0.6434108527131782
Lenovo-Y460-ban-nang-cap-gia-tri-score.xml_00109,Average,36,18,23,6,0.5844155844155844,0.75,0.6569343065693432
LG-Mini-GD880-dep-ve-dac-biet-score.xml_0010C,Average,56,12,8,9,0.8157894736842105,0.8051948051948052,0.8104575163398693
Lifebook-T5010---may-tinh-bang-gia-cao-score.xml_0010F,Average,192,48,94,15,0.6467065868263473,0.8470588235294118,0.733446519524618
Loa-di-dong-MD-221-score.xml_00112,Average,57,5,20,10,0.725609756097561,0.8263888888888888,0.7727272727272726
Loa-iPod-co-dinh-Microlab-MD331-score.xml_00115,Average,63,5,7,5,0.8733333333333333,0.8972602739726028,0.8851351351351352
Loa-may-tinh-UCube---nho-ma-co-vo-score.xml_00118,Average,130,6,50,27,0.7150537634408602,0.8159509202453987,0.7621776504297993
Lumix-DMC-FP3-vua-bam-vua-cham-score.xml_0011B,Average,105,8,27,20,0.7785714285714286,0.8195488721804511,0.7985347985347986
May-anh-tu-suong-Samsung-ST600-score.xml_0011E,Average,17,11,11,6,0.5769230769230769,0.6617647058823529,0.6164383561643835
Nokia-5800-XpressMusic-score.xml_00121,Average,137,18,37,10,0.7604166666666666,0.8848484848484849,0.8179271708683473
Nokia-C3---dien-thoai-phong-cach-tre-score.xml_00124,Average,64,12,14,2,0.7777777777777778,0.8974358974358975,0.8333333333333333
Nokia-N900-dang-tho-nhung-nhanh-nhen-score.xml_00127,Average,57,18,20,1,0.6947368421052632,0.868421052631579,0.7719298245614035
Nokia-N97-Mini-nhieu-cai-tien-score.xml_0012A,Average,79,23,19,5,0.7479338842975206,0.8457943925233645,0.793859649122807
Omnia-Pro-B7610---su-lua-chon-hop-ly-score.xml_0012D,Average,35,16,14,1,0.6615384615384615,0.8269230769230769,0.7350427350427349
S2000---dinh-cao-cua-loa-vi-tinh-2-score.xml_00130,Average,81,17,40,15,0.6485507246376812,0.7920353982300885,0.7131474103585657
