Ổ cứng di động (Mobile HDD)	ID=525	Left=925	Right=926
HDD 3.5 Inch (Ổ cứng Desktop)	ID=526	Left=927	Right=928
DVD Drive	ID=527	Left=929	Right=930
Hộp đựng ổ cứng(hdd box)	ID=528	Left=933	Right=934
CD Drive	ID=529	Left=931	Right=932
MO Drive	ID=530	Left=935	Right=936
Linh kiện server	ID=532	Left=938	Right=967
RAM (Server)	ID=533	Left=945	Right=946
HDD SCSI	ID=534	Left=949	Right=950
Card Raid Controller	ID=535	Left=947	Right=948
Mainboard Server	ID=536	Left=961	Right=962
Storage System	ID=537	Left=959	Right=960
CPU Server	ID=538	Left=965	Right=966
Nguồn Server	ID=539	Left=963	Right=964
Hotswap Tray	ID=541	Left=951	Right=952
Phụ kiện server	ID=542	Left=957	Right=958
Hệ thống lưu trữ dữ liệu	ID=543	Left=955	Right=956
Tape Drive	ID=544	Left=941	Right=942
Thanh Rack	ID=545	Left=943	Right=944
Cable SCSI server	ID=546	Left=939	Right=940
Chuột máy tính	ID=548	Left=762	Right=763
Màn hình LCD	ID=549	Left=764	Right=765
USB memory	ID=550	Left=758	Right=759
Loa máy tính	ID=551	Left=760	Right=761
Bộ lưu điện UPS	ID=552	Left=778	Right=779
Bàn phím	ID=553	Left=780	Right=781
Kim từ điển	ID=554	Left=774	Right=775
Webcam	ID=555	Left=776	Right=777
Microphone	ID=556	Left=770	Right=771
Màn hình cảm ứng LCD	ID=557	Left=772	Right=773
USB Hub	ID=559	Left=768	Right=769
Đầu đọc thẻ nhớ	ID=560	Left=796	Right=797
Bàn di chuột	ID=561	Left=794	Right=795
KVM Switch	ID=562	Left=792	Right=793
Dụng cụ vệ sinh máy tính	ID=563	Left=790	Right=791
Card mở rộng	ID=564	Left=788	Right=789
Bộ chia màn hình	ID=565	Left=786	Right=787
Bảng vẽ cảm ứng	ID=566	Left=784	Right=785
Đệm lót chuột	ID=567	Left=782	Right=783
Màn hình CRT	ID=568	Left=812	Right=813
Màn hình cảm ứng LCD (Kiốt)	ID=569	Left=810	Right=811
Điều khiển đa năng	ID=570	Left=808	Right=809
Card kỹ xảo	ID=571	Left=806	Right=807
Netcomputer	ID=572	Left=804	Right=805
Bluetooth USB Adapter	ID=573	Left=802	Right=803
Màn hình cảm ứng CRT	ID=574	Left=800	Right=801
Mac Accesssories	ID=575	Left=798	Right=799
Home theater PC (HTPC)	ID=576	Left=814	Right=815
Màn hình cảm ứng LCD (treo)	ID=577	Left=816	Right=817
Máy tính để bàn (lắp ráp)	ID=578	Left=992	Right=993
Mac Desktop	ID=579	Left=994	Right=995
Phần mềm an toàn và diệt virus	ID=580	Left=1000	Right=1001
Phần mềm cho Windows	ID=581	Left=1002	Right=1003
Hệ điều hành	ID=582	Left=1004	Right=1005
Các loại phần mềm khác	ID=583	Left=1006	Right=1007
Phần mềm kinh doanh và sản xuất	ID=584	Left=1008	Right=1031
Phần mềm quản lý bán hàng	ID=585	Left=1009	Right=1010
Phần mềm kế toán	ID=586	Left=1011	Right=1012
Phần mềm quản lý nhà hàng	ID=587	Left=1013	Right=1014
Phần mềm chấm công	ID=588	Left=1015	Right=1016
Phần mềm quản lý nhân sự	ID=589	Left=1017	Right=1018
Phần mềm quản lý tổng đài	ID=590	Left=1019	Right=1020
Phần mềm quản lý khách hàng	ID=591	Left=1021	Right=1022
Phần mềm quản lý sản xuất	ID=593	Left=1023	Right=1024
Phần mềm quản lý đấu thầu	ID=594	Left=1029	Right=1030
Phần mềm quản lý điện thoại	ID=595	Left=1027	Right=1028
Phần mềm văn phòng	ID=596	Left=1034	Right=1035
Phần mềm cho trẻ em	ID=599	Left=1036	Right=1037
Phần mềm liên quan ứng dụng Internet	ID=600	Left=1042	Right=1043
Phần mềm cho MAC	ID=602	Left=1046	Right=1047
Phần mềm hỗ trợ lập trình	ID=603	Left=1044	Right=1045
Phần mềm xuất bản web và desktop	ID=604	Left=1050	Right=1051
Phần mềm nghe nhạc	ID=606	Left=1054	Right=1055
Phần mềm PDA	ID=607	Left=1052	Right=1053
Phần mềm video	ID=608	Left=998	Right=999
Đồ họa Multimedia	ID=610	Left=129	Right=142
Đồ họa máy tính	ID=611	Left=130	Right=131
Kỹ thuật  Multimedia	ID=612	Left=136	Right=137
Giáo trình về Multimedia	ID=613	Left=138	Right=139
Phần mềm xử lý âm thanh	ID=614	Left=132	Right=133
Phần mềm xử lý Multimedia và đồ họa	ID=615	Left=134	Right=135
Xử lý video	ID=616	Left=140	Right=141
Máy tính và Network khác	ID=617	Left=147	Right=148
Lý thuyết về máy tính	ID=618	Left=143	Right=144
Tin học cơ bản	ID=619	Left=145	Right=146
Lập trình và ứng dụng	ID=620	Left=149	Right=230
Phương pháp lập trình	ID=621	Left=154	Right=155
PHP	ID=622	Left=150	Right=151
C#	ID=623	Left=152	Right=153
PASCAL	ID=624	Left=162	Right=163
Java khác	ID=625	Left=160	Right=161
Visual Studio khác	ID=626	Left=158	Right=159
ActiveX	ID=627	Left=156	Right=157
API	ID=628	Left=170	Right=171
ASP.NET	ID=629	Left=168	Right=169
Basic	ID=631	Left=164	Right=165
C	ID=632	Left=178	Right=179
C++	ID=633	Left=176	Right=177
C++ Builder	ID=634	Left=174	Right=175
CORBA	ID=635	Left=172	Right=173
Delphi	ID=636	Left=186	Right=187
Fortran	ID=637	Left=184	Right=185
IDL	ID=638	Left=182	Right=183
JavaScript	ID=639	Left=180	Right=181
JINI	ID=640	Left=214	Right=215
JSP	ID=641	Left=212	Right=213
Kylix	ID=642	Left=218	Right=219
LISP	ID=643	Left=216	Right=217
Ngôn ngữ Assembly	ID=644	Left=206	Right=207
Ngôn ngữ C khác	ID=645	Left=204	Right=205
PERL	ID=646	Left=210	Right=211
Prolog	ID=647	Left=208	Right=209
Python	ID=648	Left=198	Right=199
STL	ID=649	Left=196	Right=197
VB	ID=651	Left=200	Right=201
VBScript	ID=652	Left=190	Right=191
VCL	ID=653	Left=188	Right=189
Visual C#	ID=654	Left=194	Right=195
Visual C++	ID=655	Left=192	Right=193
Visual C++.NET	ID=656	Left=222	Right=223
Win32 API	ID=657	Left=224	Right=225
Windows API	ID=658	Left=226	Right=227
Windows CE	ID=659	Left=228	Right=229
Zope	ID=660	Left=220	Right=221
Tin học văn phòng	ID=661	Left=303	Right=330
Excel	ID=662	Left=326	Right=327
Word	ID=663	Left=328	Right=329
PowerPoint	ID=664	Left=318	Right=319
Phần mềm chuyên nghiệp	ID=665	Left=320	Right=321
Access	ID=666	Left=322	Right=323
Microsoft Project	ID=667	Left=324	Right=325
Office	ID=668	Left=310	Right=311
Outlook	ID=669	Left=312	Right=313
Office Xp	ID=672	Left=308	Right=309
Phần mềm thống kê	ID=673	Left=306	Right=307
WPS	ID=674	Left=304	Right=305
Dreamweaver	ID=676	Left=254	Right=255
Authorware	ID=677	Left=252	Right=253
Công cụ thiết kế web khác	ID=678	Left=250	Right=251
CSS	ID=679	Left=248	Right=249
Fireworks	ID=681	Left=244	Right=245
Flash cũ	ID=682	Left=242	Right=243
Flash MX	ID=683	Left=240	Right=241
GoLive	ID=684	Left=238	Right=239
Macromedia	ID=687	Left=232	Right=233
MFC	ID=688	Left=266	Right=267
Microsoft FrontPage	ID=689	Left=268	Right=269
SOAP	ID=690	Left=262	Right=263
VRML	ID=691	Left=264	Right=265
WebSphere	ID=692	Left=258	Right=259
XSL	ID=694	Left=256	Right=257
CAD	ID=695	Left=271	Right=302
AutoCAD	ID=696	Left=284	Right=285
Visio	ID=697	Left=286	Right=287
ANSYS	ID=699	Left=282	Right=283
AutoDesk	ID=700	Left=276	Right=277
CAD khác	ID=701	Left=278	Right=279
CAXA	ID=702	Left=272	Right=273
CIBS	ID=703	Left=274	Right=275
EDA	ID=704	Left=290	Right=291
MATLAB	ID=705	Left=288	Right=289
ProEngineer	ID=707	Left=292	Right=293
SolidWorks	ID=708	Left=298	Right=299
Visual Lisp	ID=710	Left=300	Right=301
Quản trị dữ liệu	ID=711	Left=379	Right=408
Oracle	ID=712	Left=382	Right=383
Nguyên lý hệ quản trị dữ liệu	ID=713	Left=380	Right=381
DB2	ID=716	Left=390	Right=391
Informix	ID=719	Left=392	Right=393
InterBase	ID=720	Left=396	Right=397
JDBC	ID=721	Left=398	Right=399
PowerBuilder	ID=722	Left=400	Right=401
Quản lý kho dữ liệu	ID=723	Left=402	Right=403
SQL Server	ID=724	Left=404	Right=405
Sybase	ID=725	Left=406	Right=407
Phần cứng máy tính	ID=726	Left=435	Right=440
Cài đặt và sửa chữa máy tính	ID=727	Left=438	Right=439
Kiến thức cở bản về phần cứng máy tính	ID=728	Left=436	Right=437
An toàn Bảo mật	ID=729	Left=409	Right=410
Giao tiếp mạng	ID=730	Left=411	Right=420
Dịch vụ full mesh và Internet	ID=731	Left=412	Right=413
Lý thuyết và ứng dụng	ID=732	Left=414	Right=415
Network security	ID=734	Left=418	Right=419
Hệ thống thông tin	ID=735	Left=421	Right=434
Hệ thống quản trị thông tin	ID=736	Left=428	Right=429
Hệ thống thông tin địa lý	ID=737	Left=426	Right=427
Hệ thống viễn thám	ID=738	Left=424	Right=425
Lý thuyết về hệ thống thông tin	ID=739	Left=422	Right=423
Máy tính mô phỏng	ID=740	Left=432	Right=433
Trí tuệ nhân tạo	ID=741	Left=430	Right=431
An toàn phần mềm	ID=743	Left=348	Right=349
Bảo dưỡng phần mềm	ID=744	Left=338	Right=339
Chất lượng phần mềm	ID=745	Left=336	Right=337
CMM	ID=746	Left=334	Right=335
